name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti Eeco 7 Seater Standard BSIV,2018,-0.48891903581673085,-1.1389392711716047,Petrol,Individual,1,First Owner
Maruti Swift VXi BSIV,2017,0.19273630247337406,-0.6903645389018658,Petrol,Dealer,1,First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater,2016,1.4357548605318007,1.8358194796698213,Diesel,Dealer,1,First Owner
Mercedes-Benz C-Class Progressive C 220d,2018,4.13564463179849,-1.3750312355240988,Diesel,Dealer,0,First Owner
Honda Civic 1.8 S MT,2007,-0.5958480365498386,0.041520550590865936,Petrol,Individual,1,Second Owner
Mahindra Xylo E4 8S,2010,-0.341895335401218,1.2219803723533365,Diesel,Individual,1,Third Owner
Hyundai Getz 1.3 GLS,2008,-0.6493085271791085,-0.3416094891603615,Petrol,Individual,1,First Owner
Fiat Punto EVO 1.3 Dynamic,2016,0.12590734773905005,-0.7848013246428635,Diesel,Individual,1,First Owner
Honda Jazz 1.5 VX i DTEC,2018,0.9011232226572086,-1.1490676164423266,Diesel,Dealer,1,First Owner
Honda Amaze E i-Vtech,2015,-0.2483347987731644,0.27761251494336003,Petrol,Individual,1,Second Owner
Chevrolet Beat Diesel LT,2012,-0.54238219960419,0.9858884080008424,Diesel,Individual,1,First Owner
Hyundai Verna CRDi,2009,-0.7829664366477564,0.5137044792958542,Diesel,Individual,1,First Owner
Maruti Swift Dzire VDI,2018,0.12590734773905005,-0.4306633781141223,Diesel,Individual,1,First Owner
Maruti Wagon R VXI Minor,2012,-0.5958480365498386,-1.0208932889953575,Petrol,Individual,1,First Owner
Hyundai i20 Asta 1.4 CRDi,2013,-0.2483347987731644,0.27761251494336003,Diesel,Individual,1,Second Owner
Honda Jazz 1.2 VX i VTEC,2016,0.4253010649488216,0.8779707710953173,Petrol,Dealer,1,First Owner
Toyota Etios VD,2012,-0.275066380666894,1.6941643010583247,Diesel,Individual,1,Third Owner
Mahindra Bolero 2011-2019 SLX,2019,0.9278548045509382,-1.0445024854306069,Diesel,Individual,1,First Owner
Ford Figo Diesel Titanium,2010,-0.7829664366477564,0.8042628598244687,Diesel,Dealer,1,First Owner
Maruti Wagon R LXI BS IV,2013,-0.32852954445435323,-0.3025834874528942,Petrol,Dealer,1,First Owner
